Date,EMA_Dir,Box_Size,Break_Dir,Break_Dist,Aligned,Retest,MFE_Boxes,MAE_Boxes,Rev_MFE_Boxes,Reward_R,Notes
2026-06-01,Sell,51.64,Sell,0.1,Yes,Yes,0.2,0.7,,0.26666666666666666,
2026-06-02,Buy,26.76,Sell,0.05,No,Yes,1.05,0.05,,1.4000000000000001,
2026-06-03,Sell,21.41,Sell,0.95,Yes,Yes,0.95,0.6,,1.2666666666666666,
2026-06-04,Buy,13.94,Buy,0.2,Yes,Yes,0.2,1,2.9,-1,
2026-06-05,Buy,67.18,Sell,0.1,No,Yes,1.2,0,,1.5999999999999999,
2026-06-08,Buy,18.76,Buy,0.05,Yes,Yes,0.3,1,0.3,-1,معکوس هم استاپ میشد
2026-06-09,Buy,16.64,Buy,0.2,Yes,Yes,1.1,1,,-1,
2026-06-10,Sell,40.74,Buy,0.1,No,Yes,0.25,1,1.5,-1,
2026-06-11,Sell,28.57,Buy,0.05,No,Yes,5.5,0.5,,2.6666666666666665,
2026-06-12,Buy,20.03,Sell,0.05,No,Yes,0.3,1,1.5,-1,
2026-06-15,Buy,29.78,Buy,0.05,Yes,Yes,0.1,1,0.99,-1,
2026-06-16,Buy,21.75,Sell,0.05,No,Yes,0.9,0.7,,1.2,
2026-06-17,Sell,14.95,Buy,0.2,No,Yes,2.9,0.6,,2.6666666666666665,
2026-06-18,Sell,35.51,Sell,0.002,Yes,Yes,1.1,0,,1.4666666666666668,
2026-06-19,Sell,35.59,Sell,0.05,Yes,Yes,0.1,0.3,,0.13333333333333333,
2026-06-22,Buy,26.14,Sell,0.05,No,Yes,0.5,0.4,,0.6666666666666666,
2026-06-23,Sell,18.05,Buy,0.1,No,No,1.1,0.9,,-1,
2026-06-24,Sell,56.45,Buy,0.1,No,Yes,0.3,1.1,0.1,-1,
2026-06-25,Sell,50.63,Buy,0.1,No,Yes,0.2,0.3,,0.26666666666666666,
2026-06-26,Buy,30.17,Buy,0.3,Yes,No,1,0,,1.3333333333333333,
2026-06-29,Sell,15.02,Sell,0.05,Yes,Yes,2.2,0.5,,2.6666666666666665,
2026-06-30,Buy,24.55,Buy,0.5,Yes,No,1.2,0.95,,-1,
2026-07-01,Buy,40.28,Buy,0.3,Yes,No,1.5,,,2,
2026-07-02,Buy,75.83,Buy,0.05,Yes,Yes,0.01,,,0.013333333333333334,
2026-07-03,Buy,14.79,Sell,0.2,No,Yes,0.6,0.8,,-1,
2026-07-06,Sell,18.46,Sell,0.05,Yes,Yes,0.1,0.8,0.8,-1,سیگنال معکوس 0.8R
2026-07-07,Buy,17.94,Sell,0.05,No,No,3.8,,,2.6666666666666665,
2026-07-08,Sell,21.15,Sell,0.05,Yes,Yes,2.1,,,2.6666666666666665,
2026-07-09,Buy,22.75,Buy,0.1,Yes,Yes,0.3,,,0.39999999999999997,
2026-07-10,Sell,21.43,Buy,0.05,No,Yes,0.5,,,0.6666666666666666,
2026-07-13,Sell,10.83,Sell,0.15,Yes,Yes,6.5,,,2.6666666666666665,
2026-07-14,Buy,74.06,None,,-,,,,,,
2026-07-15,Buy,35.5,Sell,0.03,No,Yes,0.3,0.8,-0.5,-1,سیگنال معکوس ]هم -0.5
2026-07-16,Sell,55.63,None,,-,,,,,,
2026-07-17,Sell,28.71,Buy,0.15,No,Yes,1.1,,,1.4666666666666668,
2026-07-20,Buy,9.01,Sell,0.1,No,Yes,0.9,0.8,-0.75,-1,سیگنال معکوس ]هم استاپ
2026-07-21,Buy,16.22,Buy,0.05,Yes,Yes,0.1,1,1.2,-1,
2026-07-22,Buy,40.03,Buy,0.2,Yes,Yes,0.4,,,0.5333333333333333,
2026-07-23,Sell,34.72,None,,-,,,,,,
2026-07-24,Buy,14.84,Buy,0.5,Yes,Yes,1.55,,,2.066666666666667,
2026-07-27,Buy,13.54,Sell,0.1,No,Yes,0.8,0.8,-0.75,-1,سیگنال معکوس ]هم استاپ
2026-07-28,Sell,11.94,Sell,0.3,Yes,Yes,1.2,0.8,-0.75,-1,سیگنال معکوس ]هم استاپ
2026-07-29,Sell,17.07,Sell,0.1,Yes,Yes,0.8,0.8,5.2,-1,سیگنال معکوس 5.2R
2026-07-30,Buy,21.41,Buy,0.2,Yes,Yes,1.6,,,2.1333333333333333,
2026-07-31,Sell,16.89,Sell,0.5,Yes,Yes,0.8,0.8,,-1,
2026-08-03,Buy,23.99,Sell,0.1,No,Yes,0.3,0.8,,-1,
2026-08-04,Buy,29.6,Buy,0.05,Yes,Yes,0.5,,,0.6666666666666666,
2026-08-05,Buy,25.81,Buy,0.05,Yes,No,2.2,,,2.6666666666666665,
2026-08-06,Buy,40.11,Buy,0.05,Yes,Yes,0.1,0.8,,-1,
2026-08-07,Buy,66.4,None,,-,,0,,,,
2026-08-10,Sell,12.6,Sell,0.15,Yes,Yes,0.8,0.8,4.5,-1,سیگنال معکوس 4.5R
2026-08-11,Buy,12.13,Sell,0.1,No,Yes,0.5,0.8,,-1,رو 78 درصد استاپ شد بعد تا ریوارد 2.3 رفت
2026-08-12,Buy,59,None,,-,,0,,,,
2026-08-13,Sell,24.81,Sell,0.1,Yes,Yes,1.5,,,2,
2026-08-14,Buy,21.41,Buy,0.15,Yes,Yes,0.1,0.8,,-1,
2026-08-17,Sell,12.9,Buy,0.5,No,No,3,,,2.6666666666666665,
2026-08-18,Sell,23.74,Buy,0.15,No,Yes,0.3,0.8,2,-1,2R سیگنال معکوس
2026-08-19,Buy,97.65,Buy,0.05,Yes,No,0.5,,,0.6666666666666666,
2026-08-20,Sell,33.43,Buy,0.05,No,Yes,1.7,,,2.2666666666666666,
2026-08-21,Buy,20.43,Buy,0.05,Yes,Yes,1.8,,,2.4,لبه تمیز، retest سریع در ۱۰:۴۵
