Date,EMA_Dir,Box_Size,Break_Dir,Break_Dist,Aligned,Retest,MFE_Boxes,MAE_Boxes,Rev_MFE_Boxes,Reward_R,Notes,EODResult_Boxes
2026-06-01,Sell,56.9,None,,-,,,,,,,
2026-06-02,Buy,27.71,Sell,0.05,No,Yes,0.6,0.45,,0.7999999999999999,,0.2
2026-06-03,Sell,39.61,None,,-,,,,,,,
2026-06-04,Buy,20.81,Sell,0.15,No,No,1.85,,,2.466666666666667,,1
2026-06-05,Sell,57.17,Sell,0.05,Yes,Yes,0.9,0.05,,1.2,,0.7
2026-06-08,Buy,25.36,Sell,0.05,No,Yes,0.1,1,,-1,,
2026-06-09,Buy,38.2,Sell,0.05,No,No,2.1,,,2.6666666666666665,,
2026-06-10,Sell,53.25,Sell,0.05,Yes,Yes,1.1,0.05,,1.4666666666666668,,1.1
2026-06-11,Sell,25.34,Sell,0.1,Yes,Yes,0.3,1,5,-1,,
2026-06-12,Buy,27.36,Buy,0.1,Yes,Yes,0.9,0.2,,1.2,,0.1
2026-06-15,Buy,27.47,Sell,0.05,No,Yes,1.2,0.05,,1.5999999999999999,,1.2
2026-06-16,Buy,23.32,Sell,0.3,No,No,0.7,0.65,,0.9333333333333332,,0
2026-06-17,Buy,21.25,Buy,0.8,Yes,Yes,1.9,1,4,-1,,
2026-06-18,Sell,37.67,Sell,0.05,Yes,No,1,,,1.3333333333333333,,0.6
2026-06-19,Sell,34.94,Sell,0.1,Yes,Yes,0.2,0.4,,0.26666666666666666,,-0.4
2026-06-22,Buy,22.71,Buy,0.05,Yes,Yes,0.15,1,0.6,-1,معکوس -0.4,
2026-06-23,Sell,35.22,Buy,0.05,No,Yes,0.1,0.9,,-1,,
2026-06-24,Sell,77.6,None,,-,,,,,,,
2026-06-25,Buy,34.94,Buy,0.1,Yes,Yes,0.3,0.4,,0.39999999999999997,,-0.2
2026-06-26,Buy,35.96,Buy,0.06,Yes,Yes,0.4,0.4,,0.5333333333333333,,-0.1
2026-06-29,Sell,29.23,Sell,0.15,Yes,Yes,0.65,0.2,,0.8666666666666667,,0.2
2026-06-30,Sell,23.92,Buy,0.6,No,No,1.2,,,1.5999999999999999,,-1
2026-07-01,Buy,94.99,Buy,0.05,Yes,Yes,0.06,0.8,,-1,,
2026-07-02,Buy,34.52,Sell,0.1,No,Yes,0.15,0.5,,0.19999999999999998,,-0.3
2026-07-03,Buy,16.26,Sell,0.15,No,Yes,0.3,1,1.2,-1,,
2026-07-06,Sell,13.37,Sell,0.05,Yes,Yes,0.6,1,1.2,-1,,
2026-07-07,Buy,27.19,Sell,0.05,No,Yes,2.1,0.15,,2.6666666666666665,,
2026-07-08,Sell,18.96,Sell,0.4,Yes,Yes,2.1,,,2.6666666666666665,,
2026-07-09,Buy,28.14,Buy,0.05,Yes,Yes,0.1,0.5,,0.13333333333333333,,-0.4
2026-07-10,Sell,21.13,Buy,0.1,No,Yes,0.3,0.3,,0.39999999999999997,,0.2
2026-07-13,Sell,29.77,Sell,0.05,Yes,No,1.7,,,2.2666666666666666,,1.3
2026-07-14,Buy,17.59,Buy,0.2,Yes,Yes,0.3,1,1.5,-1,,
2026-07-15,Buy,20.07,Sell,0.5,No,No,1.3,1,0.3,-1,ممعکوس هم استاپ,
2026-07-16,Sell,34.55,Buy,0.1,No,Yes,0.2,1,0.1,-1,معکوس صفر,
2026-07-17,Sell,43.92,Buy,0.15,No,Yes,0.45,,,0.6,,0.25
2026-07-20,Buy,16.18,Sell,0.1,No,Yes,0.1,1,0.1,-1,ممعکوس هم استاپ,
2026-07-21,Buy,17.18,Buy,0.15,Yes,Yes,1.3,0,,1.7333333333333334,,1
2026-07-22,Buy,50.63,Buy,0.02,Yes,Yes,0.05,0.65,,0.06666666666666667,,-0.6
2026-07-23,Sell,26.73,None,,-,,,,,,,
2026-07-24,Buy,25.2,Buy,0.15,Yes,Yes,0.6,0.8,,-1,,
