Date,Window,BoxHigh,BoxLow,BoxSize,BreakDir,BreakTime,BreakDist,LateBreakTime,RetestWithin60,FillTime,MFE_Boxes,MAE_Boxes,EOD_Boxes,DayNet_R,DayNet_R_MarketEntry,Rev_Triggered,Rev_MFE,Rev_ExitR,Rev_Outcome,Bias_Daily,EMA_Slope,NewsDay,BoxStart_Server,BoxEnd_Server
2025-03-20,0900-1000,3040.70,3030.57,10.13,Buy,2025-03-20 17:50,0.78,,1,2025-03-20 17:55,0.53,0.67,0.40,0.530,0.530,0,,,NeverTriggered,Sell,Sell,,2025-03-20 16:00:00,2025-03-20 17:00:00
2025-03-21,0900-1000,3017.67,2999.35,18.32,None,,,2025-03-21 20:25,,,0.00,,,,,,,,NeverTriggered,Sell,Sell,,2025-03-21 16:00:00,2025-03-21 17:00:00
2025-03-24,0900-1000,3024.08,3007.76,16.32,None,,,2025-03-24 19:15,,,0.00,,,,,,,,NeverTriggered,Sell,Buy,,2025-03-24 16:00:00,2025-03-24 17:00:00
2025-03-25,0900-1000,3035.83,3024.52,11.31,Sell,2025-03-25 17:15,3.36,,1,2025-03-25 17:35,0.59,0.08,0.39,0.520,0.520,0,,,NeverTriggered,Buy,Buy,,2025-03-25 16:00:00,2025-03-25 17:00:00
2025-03-26,0900-1000,3021.54,3012.15,9.39,None,,,,,,0.00,,,,,,,,NeverTriggered,Sell,Buy,,2025-03-26 16:00:00,2025-03-26 17:00:00
2025-03-27,0900-1000,3059.53,3040.50,19.03,None,,,,,,0.00,,,,,,,,NeverTriggered,Buy,Buy,,2025-03-27 16:00:00,2025-03-27 17:00:00
2025-03-28,0900-1000,3086.78,3067.25,19.53,None,,,,,,0.00,,,,,,,,NeverTriggered,Buy,Buy,,2025-03-28 16:00:00,2025-03-28 17:00:00
2025-03-31,0900-1000,3124.84,3099.82,25.02,None,,,2025-03-31 18:10,,,0.00,,,,,,,,NeverTriggered,Buy,Buy,,2025-03-31 16:00:00,2025-03-31 17:00:00
2025-04-01,0900-1000,3136.96,3128.14,8.82,Sell,2025-04-01 17:10,2.53,,1,2025-04-01 17:15,2.22,0.61,1.20,2.667,2.667,0,,,Cancelled,Buy,Buy,,2025-04-01 16:00:00,2025-04-01 17:00:00
2025-04-02,0900-1000,3132.01,3116.71,15.30,None,,,2025-04-02 19:30,,,0.00,,,,,,,,NeverTriggered,Buy,Sell,,2025-04-02 16:00:00,2025-04-02 17:00:00
2025-04-03,0900-1000,3100.87,3058.72,42.15,Buy,2025-04-03 17:05,5.01,,0,,0.82,0.12,0.37,,0.493,0,,,NeverTriggered,Sell,Sell,,2025-04-03 16:00:00,2025-04-03 17:00:00
2025-04-04,0900-1000,3087.48,3053.37,34.11,Sell,2025-04-04 17:05,3.19,,1,2025-04-04 17:10,1.11,0.15,0.45,0.598,0.598,0,,,Cancelled,Sell,Sell,,2025-04-04 16:00:00,2025-04-04 17:00:00
2025-04-07,0900-1000,3034.09,3002.13,31.96,Sell,2025-04-07 17:35,3.95,,1,2025-04-07 17:40,1.42,0.22,0.56,0.750,0.750,0,,,Cancelled,Sell,Sell,,2025-04-07 16:00:00,2025-04-07 17:00:00
2025-04-08,0900-1000,3022.77,3002.62,20.15,None,,,2025-04-08 18:55,,,0.00,,,,,,,,NeverTriggered,Sell,Buy,,2025-04-08 16:00:00,2025-04-08 17:00:00
2025-04-09,0900-1000,3077.92,3047.19,30.73,Buy,2025-04-09 17:15,3.37,,1,2025-04-09 17:30,0.69,0.87,0.06,-1.000,-1.000,0,,,NeverTriggered,Buy,Buy,,2025-04-09 16:00:00,2025-04-09 17:00:00
2025-04-10,0900-1000,3136.53,3115.99,20.54,Buy,2025-04-10 17:05,5.52,,0,,1.95,0.09,1.76,,2.345,0,,,Cancelled,Buy,Buy,,2025-04-10 16:00:00,2025-04-10 17:00:00
2025-04-11,0900-1000,3244.20,3219.48,24.72,None,,,,,,0.00,,,,,,,,NeverTriggered,Buy,Buy,,2025-04-11 16:00:00,2025-04-11 17:00:00
2025-04-14,0900-1000,3210.74,3193.51,17.23,Buy,2025-04-14 17:45,3.25,,1,2025-04-14 17:55,0.30,0.77,0.04,-1.000,-1.000,0,,,NeverTriggered,Sell,Sell,,2025-04-14 16:00:00,2025-04-14 17:00:00
2025-04-15,0900-1000,3226.13,3211.45,14.68,None,,,2025-04-15 20:35,,,0.00,,,,,,,,NeverTriggered,Buy,Sell,,2025-04-15 16:00:00,2025-04-15 17:00:00
2025-04-16,0900-1000,3319.28,3296.81,22.47,None,,,2025-04-16 18:40,,,0.00,,,,,,,,NeverTriggered,Buy,Buy,,2025-04-16 16:00:00,2025-04-16 17:00:00
2025-04-17,0900-1000,3332.05,3304.89,27.16,Sell,2025-04-17 17:25,1.04,,1,2025-04-17 18:15,0.78,0.79,-0.86,-1.000,-1.000,0,,,NeverTriggered,Buy,Buy,,2025-04-17 16:00:00,2025-04-17 17:00:00
2025-04-21,0900-1000,3426.94,3405.45,21.49,Buy,2025-04-21 17:05,2.37,,1,2025-04-21 17:10,0.15,0.84,-0.10,-1.000,-1.000,0,,,NeverTriggered,Buy,Buy,,2025-04-21 16:00:00,2025-04-21 17:00:00
2025-04-22,0900-1000,3449.85,3408.39,41.46,None,,,2025-04-22 19:15,,,0.00,,,,,,,,NeverTriggered,Sell,Buy,,2025-04-22 16:00:00,2025-04-22 17:00:00
2025-04-23,0900-1000,3313.83,3261.68,52.15,None,,,,,,0.00,,,,,,,,NeverTriggered,Sell,Sell,,2025-04-23 16:00:00,2025-04-23 17:00:00
2025-04-24,0900-1000,3336.33,3310.92,25.41,Sell,2025-04-24 17:15,1.10,,1,2025-04-24 17:20,0.09,0.78,-1.46,-1.000,-1.000,1,0.47,0.608,EOD,Buy,Buy,,2025-04-24 16:00:00,2025-04-24 17:00:00
2025-04-25,0900-1000,3293.10,3265.22,27.88,None,,,2025-04-25 20:35,,,0.00,,,,,,,,NeverTriggered,Sell,Sell,,2025-04-25 16:00:00,2025-04-25 17:00:00
2025-04-28,0900-1000,3301.15,3286.73,14.42,Buy,2025-04-28 17:15,5.95,,0,,2.05,0.16,2.93,,2.667,0,,,Cancelled,Buy,Buy,,2025-04-28 16:00:00,2025-04-28 17:00:00
2025-04-29,0900-1000,3321.25,3299.76,21.49,None,,,2025-04-29 19:35,,,0.00,,,,,,,,NeverTriggered,Sell,Sell,,2025-04-29 16:00:00,2025-04-29 17:00:00
2025-04-30,0900-1000,3319.82,3296.31,23.51,Sell,2025-04-30 17:30,1.09,,1,2025-04-30 17:35,0.15,0.78,0.25,-1.000,-1.000,0,,,NeverTriggered,Sell,Sell,,2025-04-30 16:00:00,2025-04-30 17:00:00
2025-05-01,0900-1000,3233.19,3214.60,18.59,None,,,2025-05-01 18:30,,,0.00,,,,,,,,NeverTriggered,Sell,Sell,,2025-05-01 16:00:00,2025-05-01 17:00:00
2025-05-02,0900-1000,3259.75,3239.33,20.42,Buy,2025-05-02 17:50,0.91,,1,2025-05-02 18:05,0.24,0.85,-1.02,-1.000,-1.000,1,0.82,0.031,EOD,Buy,Buy,,2025-05-02 16:00:00,2025-05-02 17:00:00
