Date,Window,BoxHigh,BoxLow,BoxSize,BreakDir,BreakTime,BreakDist,LateBreakTime,RetestWithin60,FillTime,MFE_Boxes,MAE_Boxes,EOD_Boxes,DayNet_R,DayNet_R_MarketEntry,Rev_Triggered,Rev_MFE,Rev_ExitR,Rev_Outcome,Bias_Daily,EMA_Slope,NewsDay,BoxStart_Server,BoxEnd_Server
2025-03-20,0830-0930,3037.61,3030.20,7.41,Buy,2025-03-20 16:40,0.60,,1,2025-03-20 16:50,1.14,0.50,0.96,1.281,1.281,0,,,Cancelled,Sell,Sell,,2025-03-20 15:30:00,2025-03-20 16:30:00
2025-03-21,0830-0930,3030.03,2999.35,30.68,None,,,,,,0.00,,,,,,,,NeverTriggered,Sell,Sell,,2025-03-21 15:30:00,2025-03-21 16:30:00
2025-03-24,0830-0930,3026.13,3009.96,16.17,Sell,2025-03-24 17:00,2.07,,1,2025-03-24 17:10,0.47,0.34,-0.12,-0.161,-0.161,0,,,NeverTriggered,Buy,Buy,,2025-03-24 15:30:00,2025-03-24 16:30:00
2025-03-25,0830-0930,3035.83,3023.16,12.67,Sell,2025-03-25 17:15,2.00,,1,2025-03-25 17:25,0.42,0.18,0.24,0.321,0.321,0,,,NeverTriggered,Buy,Buy,,2025-03-25 15:30:00,2025-03-25 16:30:00
2025-03-26,0830-0930,3025.70,3014.92,10.78,Sell,2025-03-26 17:00,1.33,,1,2025-03-26 17:05,0.26,0.64,-0.40,-0.539,-0.539,0,,,NeverTriggered,Buy,Buy,,2025-03-26 15:30:00,2025-03-26 16:30:00
2025-03-27,0830-0930,3051.94,3033.38,18.56,Buy,2025-03-27 16:35,3.85,,0,,0.41,0.22,0.25,,0.334,0,,,NeverTriggered,Buy,Buy,,2025-03-27 15:30:00,2025-03-27 16:30:00
2025-03-28,0830-0930,3086.78,3070.35,16.43,None,,,,,,0.00,,,,,,,,NeverTriggered,Buy,Buy,,2025-03-28 15:30:00,2025-03-28 16:30:00
2025-03-31,0830-0930,3126.83,3110.29,16.54,Sell,2025-03-31 16:35,1.49,,1,2025-03-31 16:50,0.63,0.80,-0.81,-1.000,-1.000,1,-0.76,-1.000,Stop,Buy,Buy,,2025-03-31 15:30:00,2025-03-31 16:30:00
2025-04-01,0830-0930,3136.96,3128.14,8.82,Sell,2025-04-01 17:10,2.53,,1,2025-04-01 17:15,3.10,0.61,1.20,2.667,2.667,0,,,Cancelled,Buy,Buy,,2025-04-01 15:30:00,2025-04-01 16:30:00
2025-04-02,0830-0930,3131.30,3120.75,10.55,Sell,2025-04-02 16:45,1.05,,1,2025-04-02 16:55,0.38,0.83,-0.96,-1.000,-1.000,1,-0.77,-1.000,Stop,Sell,Sell,,2025-04-02 15:30:00,2025-04-02 16:30:00
2025-04-03,0830-0930,3080.18,3058.72,21.46,Buy,2025-04-03 16:35,4.95,,0,,2.57,0.49,1.69,,2.667,0,,,Cancelled,Sell,Sell,,2025-04-03 15:30:00,2025-04-03 16:30:00
2025-04-04,0830-0930,3101.28,3069.55,31.73,Sell,2025-04-04 16:50,5.15,,0,,1.70,0.09,0.99,,1.323,0,,,Cancelled,Buy,Sell,,2025-04-04 15:30:00,2025-04-04 16:30:00
2025-04-07,0830-0930,3034.09,3014.34,19.75,Sell,2025-04-07 17:25,4.38,,0,,2.92,0.23,1.53,,2.667,0,,,Cancelled,Sell,Sell,,2025-04-07 15:30:00,2025-04-07 16:30:00
2025-04-08,0830-0930,3022.77,3002.37,20.40,Sell,2025-04-08 18:55,0.84,,0,,1.35,0.17,0.99,,1.323,0,,,Cancelled,Buy,Buy,,2025-04-08 15:30:00,2025-04-08 16:30:00
2025-04-09,0830-0930,3072.66,3042.75,29.91,Buy,2025-04-09 16:35,3.02,,1,2025-04-09 16:40,0.88,0.80,0.23,-1.000,-1.000,0,,,NeverTriggered,Buy,Buy,,2025-04-09 15:30:00,2025-04-09 16:30:00
2025-04-10,0830-0930,3136.53,3116.21,20.32,Buy,2025-04-10 17:05,5.52,,0,,1.97,0.09,1.78,,2.371,0,,,Cancelled,Buy,Buy,,2025-04-10 15:30:00,2025-04-10 16:30:00
2025-04-11,0830-0930,3244.20,3222.94,21.26,Sell,2025-04-11 19:50,0.24,,1,2025-04-11 19:55,0.17,0.73,-0.56,-0.741,-0.741,0,,,NeverTriggered,Buy,Buy,,2025-04-11 15:30:00,2025-04-11 16:30:00
2025-04-14,0830-0930,3214.31,3193.51,20.80,Buy,2025-04-14 20:30,0.20,,1,2025-04-14 20:45,0.09,0.62,-0.14,-0.187,-0.187,0,,,NeverTriggered,Sell,Sell,,2025-04-14 15:30:00,2025-04-14 16:30:00
2025-04-15,0830-0930,3226.13,3215.50,10.63,Sell,2025-04-15 16:50,3.47,,1,2025-04-15 17:00,0.38,0.93,-1.24,-1.000,-1.000,1,-0.77,-1.000,Stop,Sell,Sell,,2025-04-15 15:30:00,2025-04-15 16:30:00
2025-04-16,0830-0930,3313.45,3298.88,14.57,Sell,2025-04-16 16:35,0.98,,1,2025-04-16 16:40,0.14,0.80,-2.88,-1.000,-1.000,1,1.99,2.513,EOD,Buy,Buy,,2025-04-16 15:30:00,2025-04-16 16:30:00
2025-04-17,0830-0930,3331.66,3319.99,11.67,Sell,2025-04-17 16:50,2.09,,0,,3.11,0.71,-0.70,,2.667,0,,,Cancelled,Buy,Buy,,2025-04-17 15:30:00,2025-04-17 16:30:00
