Date,Window,BoxHigh,BoxLow,BoxSize,BreakDir,BreakTime,BreakDist,LateBreakTime,RetestWithin60,FillTime,MFE_Boxes,MAE_Boxes,EOD_Boxes,DayNet_R,DayNet_R_MarketEntry,Rev_Triggered,Rev_MFE,Rev_ExitR,Rev_Outcome,Bias_Daily,EMA_Slope,NewsDay,BoxStart_Server,BoxEnd_Server
2025-03-25,0930-1030,3035.98,3023.31,12.67,Sell,2025-03-25 18:15,2.33,,1,2025-03-25 18:25,0.43,0.18,0.22,0.287,0.287,0,,,NeverTriggered,Buy,Buy,,2025-03-25 16:30:00,2025-03-25 17:30:00
2025-03-26,0930-1030,3025.58,3014.94,10.64,Sell,2025-03-26 18:00,1.41,,1,2025-03-26 18:05,0.24,0.64,-0.49,-0.658,-0.658,0,,,NeverTriggered,Buy,Buy,,2025-03-26 16:30:00,2025-03-26 17:30:00
2025-03-27,0930-1030,3051.95,3033.50,18.45,Buy,2025-03-27 17:35,3.75,,0,,0.42,0.22,0.25,,0.333,0,,,NeverTriggered,Buy,Buy,,2025-03-27 16:30:00,2025-03-27 17:30:00
2025-03-28,0930-1030,3086.77,3070.28,16.49,None,,,,,,0.00,,,,,,,,NeverTriggered,Buy,Buy,,2025-03-28 16:30:00,2025-03-28 17:30:00
2025-03-31,0930-1030,3119.31,3099.94,19.37,Buy,2025-03-31 17:45,1.80,,1,2025-03-31 18:30,0.40,0.40,0.23,0.310,0.310,0,,,NeverTriggered,Buy,Buy,,2025-03-31 16:30:00,2025-03-31 17:30:00
2025-04-01,0930-1030,3135.50,3123.88,11.62,Sell,2025-04-01 18:40,2.72,,1,2025-04-01 18:45,1.99,0.14,0.55,0.727,0.727,0,,,Cancelled,Buy,Buy,,2025-04-01 16:30:00,2025-04-01 17:30:00
2025-04-02,0930-1030,3132.03,3116.64,15.39,Buy,2025-04-02 19:30,1.72,,1,2025-04-02 19:35,0.13,0.86,-0.05,-1.000,-1.000,1,-0.76,-1.000,Stop,Sell,Sell,,2025-04-02 16:30:00,2025-04-02 17:30:00
2025-04-03,0930-1030,3127.58,3064.04,63.54,Buy,2025-04-03 17:45,6.54,,1,2025-04-03 18:00,0.12,0.43,-0.17,-0.231,-0.231,0,,,NeverTriggered,Sell,Sell,,2025-04-03 16:30:00,2025-04-03 17:30:00
2025-04-04,0930-1030,3080.37,3041.75,38.62,Sell,2025-04-04 17:45,11.58,,1,2025-04-04 17:50,0.67,0.23,0.10,0.133,0.133,0,,,NeverTriggered,Sell,Sell,,2025-04-04 16:30:00,2025-04-04 17:30:00
2025-04-07,0930-1030,3037.83,3002.00,35.83,Sell,2025-04-07 17:35,3.89,,1,2025-04-07 17:40,1.27,0.23,0.51,0.680,0.680,0,,,Cancelled,Sell,Sell,,2025-04-07 16:30:00,2025-04-07 17:30:00
2025-04-08,0930-1030,3017.91,3003.91,14.00,Sell,2025-04-08 18:55,2.48,,0,,2.08,0.13,1.55,,2.667,0,,,Cancelled,Sell,Buy,,2025-04-08 16:30:00,2025-04-08 17:30:00
