Date,Window,BoxHigh,BoxLow,BoxSize,BreakDir,BreakTime,BreakDist,LateBreakTime,RetestWithin60,FillTime,MFE_Boxes,MAE_Boxes,EOD_Boxes,DayNet_R,DayNet_R_Potential,DayNet_R_MarketEntry,Rev_Triggered,Rev_MFE,Rev_ExitR,Rev_Outcome,Bias_Daily,EMA_Slope,NewsDay,BoxStart_Server,BoxEnd_Server
2025-03-25,0900-1000,3033.92,3020.91,13.01,Sell,2025-03-25 21:15,0.75,,0,,0.24,0.12,0.03,,,0.034,0,,,NeverTriggered,Buy,Buy,,2025-03-25 16:00:00,2025-03-25 17:00:00
2025-03-26,0900-1000,3027.36,3014.94,12.42,Sell,2025-03-26 18:00,1.41,,1,2025-03-26 18:05,0.21,0.55,-0.42,-0.564,0.246,-0.564,0,,,NeverTriggered,Buy,Buy,,2025-03-26 16:00:00,2025-03-26 17:00:00
2025-03-27,0900-1000,3052.08,3033.50,18.58,Buy,2025-03-27 17:35,3.62,,0,,0.41,0.23,0.24,,,0.321,0,,,NeverTriggered,Buy,Buy,,2025-03-27 16:00:00,2025-03-27 17:00:00
2025-03-28,0900-1000,3086.02,3070.78,15.24,None,,,,,,0.00,,,,,,,,,NeverTriggered,Buy,Buy,,2025-03-28 16:00:00,2025-03-28 17:00:00
2025-03-31,0900-1000,3124.72,3099.94,24.78,Buy,2025-03-31 18:10,0.35,,1,2025-03-31 18:15,0.10,0.53,-0.04,-0.048,0.076,-0.048,0,,,NeverTriggered,Buy,Buy,,2025-03-31 16:00:00,2025-03-31 17:00:00
2025-04-01,0900-1000,3137.09,3128.18,8.91,Sell,2025-04-01 17:10,2.69,,1,2025-04-01 17:15,3.07,0.59,1.19,2.667,2.667,2.667,0,,,Cancelled,Buy,Buy,,2025-04-01 16:00:00,2025-04-01 17:00:00
2025-04-02,0900-1000,3132.03,3116.64,15.39,Buy,2025-04-02 19:30,1.72,,1,2025-04-02 19:35,0.13,0.86,-0.05,-1.000,-1.000,-1.000,1,-0.76,-1.000,Stop,Sell,Sell,,2025-04-02 16:00:00,2025-04-02 17:00:00
2025-04-03,0900-1000,3100.73,3054.27,46.46,Buy,2025-04-03 17:05,5.19,,0,,0.75,0.10,0.34,,,0.454,0,,,NeverTriggered,Sell,Sell,,2025-04-03 16:00:00,2025-04-03 17:00:00
2025-04-04,0900-1000,3087.37,3053.40,33.97,Sell,2025-04-04 17:05,3.26,,1,2025-04-04 17:10,1.11,0.16,0.46,0.609,1.477,0.609,0,,,Cancelled,Sell,Sell,,2025-04-04 16:00:00,2025-04-04 17:00:00
2025-04-07,0900-1000,3033.96,3002.00,31.96,Sell,2025-04-07 17:35,3.89,,1,2025-04-07 17:40,1.42,0.25,0.57,0.762,1.895,0.762,0,,,Cancelled,Sell,Sell,,2025-04-07 16:00:00,2025-04-07 17:00:00
2025-04-08,0900-1000,3022.69,3002.53,20.16,Sell,2025-04-08 18:55,1.10,,0,,1.38,0.16,1.01,,,1.341,0,,,Cancelled,Sell,Buy,,2025-04-08 16:00:00,2025-04-08 17:00:00
2025-04-09,0900-1000,3077.95,3047.20,30.75,Buy,2025-04-09 17:15,3.24,,1,2025-04-09 17:30,0.68,0.87,0.05,-1.000,-1.000,-1.000,0,,,NeverTriggered,Buy,Buy,,2025-04-09 16:00:00,2025-04-09 17:00:00
2025-04-10,0900-1000,3136.68,3116.16,20.52,Buy,2025-04-10 17:05,5.50,,0,,1.93,0.09,1.75,,,2.340,0,,,Cancelled,Buy,Buy,,2025-04-10 16:00:00,2025-04-10 17:00:00
2025-04-11,0900-1000,3244.18,3219.63,24.55,None,,,,,,0.00,,,,,,,,,NeverTriggered,Buy,Buy,,2025-04-11 16:00:00,2025-04-11 17:00:00
2025-04-14,0900-1000,3210.74,3193.69,17.05,Buy,2025-04-14 17:45,3.76,,1,2025-04-14 17:55,0.28,0.79,0.04,-1.000,-1.000,-1.000,0,,,NeverTriggered,Sell,Sell,,2025-04-14 16:00:00,2025-04-14 17:00:00
2025-04-15,0900-1000,3226.32,3211.63,14.69,Buy,2025-04-15 20:35,0.36,,1,2025-04-15 21:00,0.49,0.08,0.16,0.217,0.657,0.217,0,,,NeverTriggered,Buy,Sell,,2025-04-15 16:00:00,2025-04-15 17:00:00
2025-04-16,0900-1000,3319.55,3296.77,22.78,Buy,2025-04-16 18:40,2.41,,0,,1.00,0.09,0.94,,,1.252,0,,,Cancelled,Buy,Buy,,2025-04-16 16:00:00,2025-04-16 17:00:00
2025-04-17,0900-1000,3332.12,3305.28,26.84,Sell,2025-04-17 17:25,1.42,,0,,0.79,0.79,-0.86,,,-1.000,0,,,NeverTriggered,Buy,Buy,,2025-04-17 16:00:00,2025-04-17 17:00:00
2025-04-21,0900-1000,3426.80,3405.16,21.64,Buy,2025-04-21 17:05,2.61,,1,2025-04-21 17:10,0.16,0.83,-0.09,-1.000,-1.000,-1.000,0,,,NeverTriggered,Buy,Buy,,2025-04-21 16:00:00,2025-04-21 17:00:00
2025-04-22,0900-1000,3449.68,3408.70,40.98,Sell,2025-04-22 19:15,8.10,,0,,1.02,0.14,0.69,,,0.926,0,,,Cancelled,Sell,Buy,,2025-04-22 16:00:00,2025-04-22 17:00:00
2025-04-23,0900-1000,3313.74,3261.81,51.93,None,,,,,,0.00,,,,,,,,,NeverTriggered,Sell,Sell,,2025-04-23 16:00:00,2025-04-23 17:00:00
2025-04-24,0900-1000,3336.23,3311.32,24.91,Sell,2025-04-24 17:15,1.67,,1,2025-04-24 17:20,0.11,0.77,-1.46,-1.000,-1.000,-1.000,1,0.47,0.620,EOD,Buy,Buy,,2025-04-24 16:00:00,2025-04-24 17:00:00
2025-04-25,0900-1000,3292.96,3265.16,27.80,Buy,2025-04-25 20:35,1.41,,1,2025-04-25 20:40,0.81,0.18,0.74,0.990,1.082,0.990,0,,,NeverTriggered,Sell,Sell,,2025-04-25 16:00:00,2025-04-25 17:00:00
2025-04-28,0900-1000,3301.09,3286.89,14.20,Buy,2025-04-28 17:15,6.31,,0,,3.65,0.15,2.96,,,2.667,0,,,Cancelled,Buy,Buy,,2025-04-28 16:00:00,2025-04-28 17:00:00
2025-04-29,0900-1000,3321.26,3299.83,21.43,Buy,2025-04-29 19:35,1.68,,0,,0.41,0.37,-0.12,,,-0.159,0,,,NeverTriggered,Sell,Sell,,2025-04-29 16:00:00,2025-04-29 17:00:00
2025-04-30,0900-1000,3319.78,3296.13,23.65,Sell,2025-04-30 17:30,0.72,,1,2025-04-30 17:35,0.14,0.79,0.23,-1.000,-1.000,-1.000,0,,,NeverTriggered,Sell,Sell,,2025-04-30 16:00:00,2025-04-30 17:00:00
2025-05-01,0900-1000,3233.23,3214.45,18.78,Sell,2025-05-01 18:30,5.43,,1,2025-05-01 18:55,0.51,0.82,-1.23,-1.000,-1.000,-1.000,1,0.34,0.304,EOD,Sell,Sell,,2025-05-01 16:00:00,2025-05-01 17:00:00
2025-05-02,0900-1000,3259.61,3239.47,20.14,Buy,2025-05-02 17:50,1.30,,1,2025-05-02 18:05,0.24,0.85,-1.04,-1.000,-1.000,-1.000,1,0.83,0.048,EOD,Buy,Buy,,2025-05-02 16:00:00,2025-05-02 17:00:00
